Label,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,ASM0,ASM45,ASM90,ASM135
corrosion,0.92931985,1.98074587,1.3368413,1.47637063,0.53924632,0.85542484,0.65445772,0.72269127,0.76573927,0.66819736,0.73241814,0.70460558,0.22307059,0.19058987,0.21126326,0.20142703,0.92819427,0.84704641,0.89674128,0.88598713,0.04976049,0.0363245,0.04463217,0.04057285
corrosion,1.29338235,1.89850058,1.46525735,1.71841599,0.54255515,0.75306421,0.61832108,0.67770857,0.78812043,0.71415474,0.75770734,0.74319396,0.27753081,0.25826225,0.26972698,0.2669478,0.93496955,0.90444859,0.92625595,0.91351517,0.07702335,0.06669939,0.07275264,0.07126113
corrosion,1.13160233,1.35184929,0.7643076,1.15291042,0.49937194,0.56784314,0.41930147,0.54354479,0.79986957,0.77647146,0.81952688,0.77827439,0.24666802,0.23866303,0.25278129,0.23871387,0.94608859,0.93556795,0.96353192,0.94504324,0.06084511,0.05696004,0.06389838,0.05698431
corrosion,0.88360907,1.45230296,0.82123162,1.35870819,0.49831495,0.70228374,0.49246324,0.68056901,0.78575704,0.71460864,0.78393334,0.71926772,0.21695797,0.19480935,0.2155293,0.19562032,0.95671813,0.9289067,0.9597489,0.93348774,0.04707076,0.03795068,0.04645288,0.03826731
corrosion,2.27431066,3.62949635,2.74276961,3.55389466,0.79361213,1.08844291,0.91973039,1.07983083,0.71696897,0.64085699,0.67829704,0.64117188,0.19398554,0.17203147,0.18217299,0.17221049,0.92380184,0.87724388,0.90724428,0.87980386,0.03763039,0.02959483,0.033187,0.02965645
corrosion,1.72852328,2.7876509,2.07268689,2.54197616,0.6971201,0.94986544,0.79661458,0.90592849,0.73060859,0.66190517,0.70104418,0.67127306,0.24091178,0.22086506,0.23444175,0.22385939,0.92200924,0.87337263,0.90599028,0.88443006,0.05803849,0.04878137,0.05496293,0.05011303
corrosion,2.90223652,5.22236063,4.74018076,5.3212303,0.94215686,1.36018454,1.28662684,1.37287197,0.67221017,0.59338404,0.60733117,0.59184819,0.1897836,0.17289295,0.17722068,0.17274998,0.88369805,0.79056604,0.81000982,0.78660989,0.03601781,0.02989197,0.03140717,0.02984255
corrosion,2.07559743,2.29119569,1.93933824,2.30946559,1.01070772,1.08701269,0.9614277,1.0899654,0.59251606,0.56732056,0.60949705,0.56715948,0.19592877,0.19029586,0.19933977,0.19037558,0.77513607,0.75165233,0.79013755,0.74965163,0.03838808,0.03621251,0.03973634,0.03624286
corrosion,1.91726409,3.07529412,2.28414522,3.1169704,0.77287071,1.04887351,0.84780944,1.07086505,0.70606312,0.62868226,0.68510359,0.61963747,0.21329528,0.19379871,0.21210927,0.19100312,0.8990733,0.83827302,0.88000114,0.83610076,0.04549488,0.03755794,0.04499034,0.03648219
corrosion,9.60560662,10.85314879,10.59609375,10.48073818,2.30389093,2.47960015,2.43613664,2.42420607,0.38212263,0.35903946,0.36614309,0.36632024,0.11136507,0.10556126,0.10660476,0.10588078,0.67786371,0.63449233,0.64305524,0.64702704,0.01240218,0.01114318,0.01136457,0.01121074
corrosion,1.39984681,2.31128028,1.33693321,2.29099577,0.57683824,0.80865821,0.57513787,0.80624375,0.7772783,0.70937998,0.77368031,0.70998097,0.41234053,0.38646575,0.41103718,0.38682524,0.96405596,0.94079035,0.96566754,0.94131013,0.17002472,0.14935578,0.16895156,0.14963377
corrosion,0.49808517,0.71509419,0.49172794,0.75830834,0.31465993,0.42532872,0.3453125,0.44796617,0.85692067,0.8116254,0.84105574,0.80210669,0.34676753,0.32971938,0.34182122,0.32614756,0.98383792,0.97677747,0.98404709,0.97535522,0.12024772,0.10871487,0.11684174,0.10637223
corrosion,3.31282169,4.74260669,4.05304841,4.89348712,0.87207414,1.09038062,1.01113664,1.1117724,0.72765685,0.69056757,0.70099756,0.68711026,0.37220716,0.36065718,0.36484034,0.36012577,0.93813957,0.9114319,0.92422271,0.90862568,0.13853817,0.1300736,0.13310847,0.12969057
corrosion,2.62375919,3.74954248,1.95824142,4.11903114,0.73846507,0.94065359,0.63655025,1.00647443,0.7535369,0.70643375,0.77482546,0.69068679,0.23674065,0.22385253,0.24639258,0.21960159,0.93967133,0.91365002,0.95487893,0.90514177,0.05604614,0.05010995,0.0607093,0.04822486
corrosion,0.70701593,1.23372549,0.8151348,1.21885429,0.4739277,0.67246444,0.50208333,0.67463283,0.78506199,0.71373604,0.77721263,0.71221175,0.20443745,0.18037745,0.19998786,0.18007227,0.96867993,0.94516003,0.9640065,0.94586305,0.04179467,0.03253603,0.03999514,0.03242602
corrosion,1.05476409,2.12704344,1.77185968,2.50972703,0.41790748,0.69633218,0.58377757,0.74145329,0.83897974,0.75495391,0.78971279,0.74963422,0.29132873,0.27071142,0.28000435,0.26902322,0.9688631,0.93729451,0.94773085,0.92600193,0.08487243,0.07328467,0.07840244,0.07237349
corrosion,2.61188725,3.56207612,2.28828125,3.34718954,0.64420956,0.79713956,0.5962163,0.77257978,0.78795938,0.7506712,0.7976801,0.75573006,0.22281645,0.21177951,0.22610954,0.2129619,0.94820711,0.92941652,0.95466123,0.93365501,0.04964717,0.04485056,0.05112552,0.04535277
corrosion,0.84880515,1.90157632,1.55603554,2.20266052,0.42325368,0.61576317,0.52374387,0.67964629,0.82657091,0.78066735,0.80697203,0.76692737,0.32424532,0.31228396,0.3162969,0.31018512,0.98129895,0.95799876,0.96559691,0.95134848,0.10513503,0.09752127,0.10004373,0.09621481
corrosion,2.01738664,3.31035755,2.6198223,3.31291042,0.87173713,1.08595156,0.92178309,1.09659362,0.64822816,0.59996394,0.64885477,0.59587857,0.17163941,0.16235646,0.17569628,0.15999315,0.91207409,0.85420592,0.88469741,0.85410306,0.02946009,0.02635962,0.03086918,0.02559781
corrosion,0.79856005,1.90986544,1.44379596,1.88928874,0.48719363,0.84322953,0.68534007,0.8387697,0.78435968,0.66995329,0.72340632,0.67113423,0.1935658,0.16157905,0.17480569,0.16202047,0.9709997,0.93057069,0.94760375,0.93133591,0.03746772,0.02610779,0.03055703,0.02625063
corrosion,7.15010723,7.55641676,7.05142463,7.6324183,1.90102635,1.9467897,1.88255208,1.97108804,0.42549506,0.42150365,0.42934738,0.41690752,0.11726632,0.11671868,0.11744026,0.11628761,0.840981,0.83186221,0.84309938,0.83023027,0.01375139,0.01362325,0.01379221,0.01352281
corrosion,1.10122549,3.84207612,3.21259191,3.77873126,0.43489583,0.94823529,0.82340686,0.94662053,0.83200613,0.70878219,0.73977184,0.70832661,0.29517409,0.26486873,0.2705235,0.2638202,0.96367183,0.87333459,0.89403952,0.87544706,0.08712775,0.07015544,0.07318296,0.0696011
corrosion,1.10818015,1.77118032,1.40664828,1.87737024,0.60012255,0.79647828,0.67959559,0.8085198,0.74488585,0.68352283,0.72199088,0.68374256,0.18536604,0.16801697,0.1796141,0.16833577,0.94307381,0.90920955,0.92801803,0.9037654,0.03436057,0.0282297,0.03226123,0.02833693
corrosion,0.62996324,2.15154171,1.87337623,2.17634756,0.39031863,0.79255671,0.68933824,0.79331027,0.82618412,0.70503931,0.74305525,0.70584099,0.25686677,0.22093908,0.23573144,0.22199393,0.98396173,0.94530571,0.95235877,0.94468487,0.06598054,0.04881408,0.05556931,0.0492813
corrosion,0.98275123,1.5510496,1.10364583,1.40133795,0.48085172,0.69073433,0.54420956,0.6184083,0.80210881,0.72673532,0.77506561,0.75652254,0.28723162,0.26764574,0.2802067,0.27620866,0.94801036,0.91775497,0.9414972,0.92570753,0.082502,0.07163424,0.0785158,0.07629122
corrosion,0.41162684,0.62754325,0.29116115,0.6253441,0.25638787,0.33860823,0.1587163,0.34071511,0.88560936,0.85542372,0.93183039,0.85417814,0.29516668,0.28369067,0.32463106,0.28309627,0.96351328,0.94427465,0.9741257,0.94442427,0.08712337,0.08048039,0.10538533,0.0801435
corrosion,4.35520833,6.04492118,5.43030025,6.12970396,1.27405025,1.52770473,1.42215074,1.54657439,0.58503098,0.54105368,0.56361119,0.53687367,0.1452335,0.13471886,0.13883236,0.13322437,0.82152937,0.75232957,0.77729747,0.74885066,0.02109277,0.01814917,0.01927442,0.01774873
